task,task_label,variant,method_label,metric,count,mean,std,ci95_low,ci95_high,min,max
lj_lambda_fe,"LJ-$\lambda$
FE",A3,A3 iso.,A_swap,10,0.23755407599999998,0.03505246918907652,0.21247905009490434,0.26262910190509564,0.1924963,0.28215768
lj_lambda_fe,"LJ-$\lambda$
FE",A3,A3 iso.,R_high_E,10,0.106787775,0.03619210402208754,0.0808975034468458,0.13267804655315418,0.0462295,0.14678428
lj_lambda_fe,"LJ-$\lambda$
FE",A3,A3 iso.,Ubar,10,0.5778124499999999,0.032795924640339064,0.5543516588214332,0.6012732411785666,0.5393473,0.61943615
lj_lambda_fe,"LJ-$\lambda$
FE",A4,A4 NoiSDE,A_swap,10,0.318890585,0.052395670963470566,0.28140897993426267,0.35637219006573734,0.2588341,0.38774665
lj_lambda_fe,"LJ-$\lambda$
FE",A4,A4 NoiSDE,R_high_E,10,0.059110081999999994,0.03804868944891234,0.031891689240275786,0.0863284747597242,0.0075504,0.1142148
lj_lambda_fe,"LJ-$\lambda$
FE",A4,A4 NoiSDE,Ubar,10,0.706983314,0.06412814115371054,0.6611088053597919,0.7528578226402082,0.6342104,0.78826917
lj_lambda_fe,"LJ-$\lambda$
FE",A5,A5 over-noise,A_swap,10,0.034945657000000005,0.017570290051862517,0.022376628671810377,0.04751468532818963,0.0125324,0.07199705
lj_lambda_fe,"LJ-$\lambda$
FE",A5,A5 over-noise,R_high_E,10,0.362669974,0.027934999895175783,0.3426864789072016,0.3826534690927984,0.33713942,0.4167243
lj_lambda_fe,"LJ-$\lambda$
FE",A5,A5 over-noise,Ubar,10,0.22163985900000002,0.0735286356180099,0.16904064172538635,0.2742390762746137,0.12221901,0.2986041
lj_lambda_fe,"LJ-$\lambda$
FE",B1,B1 learned,A_swap,10,0.25651790500000005,0.04771948302999668,0.22238144326600534,0.29065436673399475,0.1977445,0.33344061
lj_lambda_fe,"LJ-$\lambda$
FE",B1,B1 learned,R_high_E,10,0.093631285,0.03729252054806947,0.0669538228855603,0.12030874711443969,0.0473261,0.13461871
lj_lambda_fe,"LJ-$\lambda$
FE",B1,B1 learned,Ubar,10,0.607504401,0.05048382445847441,0.571390448534733,0.6436183534652671,0.5438918,0.68828482
